0	unknown	50	50	50	0
1	F2	217	248	252	0
2	F3	237	231	245	0
3	F4	251	231	236	0
4	F5	125   	233  	246	0
5	F6	203	185	225	0
6	F7	231	208	217	0
7	F8	255	240	210	0
8	F9	69	224	242	0
9	F10	198	249	115	0
10	F10x	255	177	11	0
11	F11	248	162	179	0
12	F12	24	101	110	0
13	F13	170	246	46	0
14	F14	130	0	26	0
15	F15	255	198	77	0
16	F16	24	0	54	0
17	F17	83	23	156	0
18	F18	217	251	162	0
19	F19	236	253	208	0
20	F20	51	176	160	0
21	F21	245	115	141	0
22	F22	169	139	205	0
23	F23	255	219	144	0
24	F24	243	92	122	0
25	F25	240	46	84	0
26	F26	151	115	196	0
27	F27	125	201	0	0
28	F28	42	67	0	0
29	F29	49	0	107	0
30	F30	186	129	11	0
31	F31	83	134	0	0
32	F32	36	0	81	0
33	F33	47	201	220	0
34	F34	108	0	22	0
35	F35	194	0	39	0
36	F36	65	0	13	0
37	F37	117	69	176	0
38	F38	237	0	47	0
39	F39	12	0	27	0
40	F40	116	81	5	0
41	F41	33	141	154	0
42	F42	60	0	134	0
43	F43	44	0	9	0
44	F44	152	246	46	0
45	F45	173	0	35	0
46	F2b	180	242	249	0
